train_id,name,item_condition_id,brand_name,price,shipping,item_description,category_1,category_2,category_3,log_price,ship_chr,brand,model,year,origin_price ($),origin_price_sub_min,origin_price_sub_median,memory(GB),CPU (type),new_cpu,CPU (GHz),OS version,screen inch,storage (GB),cellular (YN),accessories (YN),accessories,locked (YN),etc,cpu_cnt,GHz,ship_fee_included
13998,Apple ipad mini 16 gb,3,Apple,91,0,1st gen. Apple ipad mini 16 gb in good condition. Minor scratch on screen does not cause issue with use sticker residue on back side. No charger. Comes with case Price is non negotiable.,Electronics,Computers & Tablets,iPad,4.510859507,paid,Apple,ipad mini 1,2012.0,329,329.0,329.0,0.512,Dual Core,dual core,1.0 GHz,ios 6,7.9,16.0,N,N,,N,,2.0,1.0,Yes
14706,16GB iPad Air A1475,3,Apple,140,1,"16 GB iPad Air A1475 Amazing condition with one minor flaw as depicted by photo. This doesn't affect iPad functionality and is barely noticeable. The screen has professional screen cover on to protect the glass. Comes with a charger. iPad has been reset, iCloud unlocked, and is ready for a new home :)",Electronics,Computers & Tablets,iPad,4.941642423,free,Apple,ipad air ,2013.0,499,499.0,499.0,1.0,Dual Core,dual core,1.3 GHz,ios 7,9.7,16.0,N,Y,charger,N,,2.0,1.3,No
19106,White iPad 2,3,Apple,101,0,"White regular 16 GB iPad 2 in nearly perfect condition. I've kept it in a case since the day I purchased it. There are only a few minor scratches near power port. Fully functioning, no issues. Running iOS 9.3.5",Electronics,Computers & Tablets,iPad,4.615120517,paid,Apple,ipad 2,2011.0,499,499.0,499.0,0.512,Dual Core,dual core,1.0 GHz,ios 4.3,9.7,16.0,N,N,,N,,2.0,1.0,Yes
19948,Ipad 1st Generation,3,Apple,75,1,Very good condition Ipad it is the 1st generation clean imei and no icloud lock Comes with a charger and a sleeve case!,Electronics,Computers & Tablets,iPad,4.317488114,free,Apple,ipad 1,2010.0,499,499.0,499.0,0.256,Cortex-A8,single core,1.0 GHz,ios 3.2,9.7,16.0,N,Y,charger\case,N,,1.0,1.0,No
20761,iPad mini,3,Apple,91,0,I don't need it anymore no cracks few scratches,Electronics,Computers & Tablets,iPad,4.510859507,paid,Apple,ipad mini,2012.0,329,329.0,329.0,0.512,Dual Core,dual core,1.0 GHz,ios 6,7.9,16.0,N,N,,N,,2.0,1.0,Yes
21142,iPad Mini 16gb,3,Apple,103,0,iPad mini 16gb very well taken care of. Just want an upgrade. Works perfectly fine with basic use. Comes in original apple box with charger. I also have a Michael Kors case that I would sell for [rm] plus the price with the IPad.,Electronics,Computers & Tablets,iPad,4.634728988,paid,Apple,ipad mini ,2012.0,329,329.0,329.0,0.512,Dual Core,dual core,1.0 GHz,ios 6,7.9,16.0,N,Y,charger\case,N,,2.0,1.0,Yes
23945,iPad Mini 32GB,2,Apple,136,0,This item is in great condition. There is no damage. Comes with original box that include the manual and charger head. It is iCloud unlocked.,Electronics,Computers & Tablets,iPad,4.912654886,paid,Apple,ipad mini,2012.0,429,429.0,429.0,0.512,Dual Core,dual core,1.0 GHz,ios 6,7.9,32.0,N,Y,charger,N,,2.0,1.0,Yes
24966,iPad mini Wifi 16gb Black/Slate 1st Gen,3,Apple,110,1,"Apple iPad mini 16gb Black/Slate 1st Generation 7.9"", WIFI only! Excellent used condition! Has been kept in it's Case and has had a tempered glass screen protector since purchase. I just upgraded, so this one is ready to go. Can't really find a flaw, possibly a few scratches in the back? Just to descibe as accurately as possible w/o leaving anything out! It's in pristine condition, no iCloud lock. Ready for use. Will be sent w/the charger!",Electronics,Computers & Tablets,iPad,4.700480366,free,Apple,ipad mini 1,2012.0,329,329.0,329.0,0.512,Dual Core,dual core,1.0 GHz,ios 6,7.9,16.0,N,Y,screen protector,N,,2.0,1.0,No
26228,"Apple Ipad 3rd Gen, like new!!",2,Apple,150,1,"Apple Ipad 3rd Gen, perfect condition! Ipad 3rd Gen 16 GB + 4g. I bought this a while ago but got a laptop soon after, so I've barely used it at all! Will come with a charger and the case if requested. Basically a brand-new ipad from a few years ago! Message me with offers or questions, price is negotiable!!",Electronics,Computers & Tablets,iPad,5.010635294,free,Apple,ipad 3,2012.0,629,629.0,629.0,1.0,Dual Core,dual core,1.0 GHz,ios 5.1,9.7,16.0,Y,Y,carger\case,N,,2.0,1.0,No
33372,IPad mini 32gb,3,Apple,86,0,Silver IPad mini 32gb/wifi only Light scratches Fully functional Come with Michael Kors sleeve. *must pay shipping*,Electronics,Computers & Tablets,iPad,4.454347296,paid,Apple,ipad mini ,2012.0,429,429.0,429.0,0.512,Dual Core,dual core,1.0 GHz,ios 6,7.9,32.0,N,Y,sleeve,N,,2.0,1.0,Yes
34012,iPad mini 16GB WIFI only,4,Apple,51,0,"Used iPad Mini 16GB WIFI Only Still working good, Screen Cracked but touch screen working good. You don't need to repair the screen. No iCloud lock, WIFI only Come with charger, cable and Bluetooth Logitech keyboard cover.",Electronics,Computers & Tablets,iPad,3.931825633,paid,Apple,ipad mini,2012.0,329,329.0,329.0,0.512,Dual Core,dual core,1.0 GHz,ios 6,7.9,16.0,N,Y,carger\cable\keyboard cover,Y,,2.0,1.0,Yes
38168,ipad mini first gen 16 GB,3,Apple,50,1,"some small wear and tear, has a barely noticeable hairline crack on screen. in great working condition",Electronics,Computers & Tablets,iPad,3.912023005,free,Apple,ipad mini 1 ,2012.0,329,329.0,329.0,0.512,Dual Core,dual core,1.0 GHz,ios 6,7.9,16.0,N,N,,N,,2.0,1.0,No
41085,iPad Mini 64gb,3,Apple,124,0,"iPad Mini first generation. 64gb of storage. Shows slight signs of use but nothing major. Has scratch mark on the back where an engraving was taken off. Works great and comes with otter box defender series case, a Logitech Bluetooth keyboard, and a carrying case. Also comes with a power cord.",Electronics,Computers & Tablets,iPad,4.820281566,paid,Apple,ipad mini 1,2012.0,529,529.0,529.0,0.512,Dual Core,dual core,1.0 GHz,ios 6,7.9,64.0,N,Y,case\keyboard,N,,2.0,1.0,Yes
42407,iPad mini 4 wifi+cellular,2,Apple,256,0,"This is about a week old. I was going to write my sermons on it, but I have a Samsung tab and that is more simple to use. No scratches, original box and everything that comes with it when you purchase it!!",Electronics,Computers & Tablets,iPad,5.545177444,paid,Apple,ipad mini 4,2015.0,529,529.0,529.0,2.0,Dual Core,dual core,1.5 GHz,ios 9,7.9,16.0,Y,N,,N,,2.0,1.5,Yes
44926,iPad mini,2,Apple,130,1,iPad mini for sale wit case and charger,Electronics,Computers & Tablets,iPad,4.86753445,free,Apple,ipad mini,2012.0,329,329.0,329.0,0.512,Dual Core,dual core,1.0 GHz,ios 6,7.9,16.0,N,Y,case\charger,N,,2.0,1.0,No
47471,iPad mini NEW,1,Apple,184,0,"took out box to take pictures . i have an ipod and iphone no need for this. RETAILS [rm] !!! :) ACCEPTING REASONABLE OFFERS tags- american eagle, aeropostale, hollister, forever 21, urban outfitters, charlotte russe, rue 21, victoria secret, PINK, bath and body works, slime, ultra, sephora simply southern, vineyard vines, h&m michael kors, adidas, abercrombie and fitch, justice, ivory ella",Electronics,Computers & Tablets,iPad,5.214935758,paid,Apple,ipad mini ,2012.0,329,329.0,329.0,0.512,Dual Core,dual core,1.0 GHz,ios 6,7.9,16.0,N,N,,N,,2.0,1.0,Yes
48288,iPad mini,3,Apple,76,0,Minor crack Still works Willing to drop price,Electronics,Computers & Tablets,iPad,4.33073334,paid,Apple,ipad mini,2012.0,329,329.0,329.0,0.512,Dual Core,dual core,1.0 GHz,ios 6,7.9,16.0,N,N,,N,,2.0,1.0,Yes
49407,iPad 1,3,Apple,75,1,"Apple iPad, used a couple of times. Works fine.",Electronics,Computers & Tablets,iPad,4.317488114,free,Apple,ipad 1,2010.0,499,499.0,499.0,0.256,Cortex-A8,single core,1.0 GHz,ios 3.2,9.7,16.0,N,N,,N,,1.0,1.0,No
50458,iPad mini 1 16gb -white,3,Apple,126,0,"This is a great condition iPad with a mint screen and very light scratching on the reverse. You get the iPad mini, box and a very nice 2 prong travel charger with lightning cord which allows you to charge 2 USB devices. Great when you travel. Will be cleared of all data, reset to factory settings ready for a new owner I ship quickly via USPS",Electronics,Computers & Tablets,iPad,4.836281907,paid,Apple,ipad mini 1,2012.0,329,329.0,329.0,0.512,Dual Core,dual core,1.0 GHz,ios 6,7.9,16.0,N,N,,N,,2.0,1.0,Yes
53888,On hold! Silver apple ipad mini 16gb,2,Apple,96,0,Works great no cracks comes with screen protector and a gold case DO NOT BUY,Electronics,Computers & Tablets,iPad,4.5643481910000006,paid,Apple,ipad mini,2012.0,329,329.0,329.0,0.512,Dual Core,dual core,1.0 GHz,ios 6,7.9,16.0,N,Y,screen protector\case,N,,2.0,1.0,Yes
54111,iPad,3,Apple,125,1,"iPad 3 generation, 32 gb. Wifi Screen is perfect, minor scratches on the back, nothing too bad. Comes with cord and charger",Electronics,Computers & Tablets,iPad,4.828313737,free,Apple,ipad 3,2012.0,429,429.0,429.0,1.0,Dual Core,dual core,1.0 GHz,ios 5.1,9.7,32.0,N,Y,cord\chager,N,,2.0,1.0,No
55435,iPad 1st Generation 64GB At&T UNLOCKED,4,Apple,66,0,"iPad 1st Generation 64GB AT&T + 3G (Unlocked) MC825/LLA. These iPad has normal wear on back, and is updated to iOS 5.1.1. (Latest version of iOS it can have) Will be reset to Factory settings when sold. I personally think that these older iPads are great for small kids. My daughter mostly watched videos on YouTube with it. Comes with charger, Case, adapter thingy, and original box.",Electronics,Computers & Tablets,iPad,4.189654742,paid,Apple,ipad 1 ,2010.0,629,629.0,629.0,0.256,Cortex-A8,single core,1.0 GHz,ios 5.1.1,9.7,16.0,Y,Y,case\carger\adapter,N,,1.0,1.0,Yes
55457,iPad 1st Generation 16Gb,3,Apple,66,0,iPad 1st Generation 16Gb in very good condition as you are looking it on the website,Electronics,Computers & Tablets,iPad,4.189654742,paid,Apple,ipad 1,2010.0,499,499.0,499.0,0.256,Cortex-A8,single core,1.0 GHz,ios 3.2,9.7,16.0,N,N,,N,,1.0,1.0,Yes
56023,iPad mini 2!!! FREE SHIPPING!!!,2,Apple,190,1,"Looking to sell my cute little mini iPad 2!!! In PERFECT condition (this is actually the first time it's been out of the case since I got it 2 years ago) I only used it to play games and for Netflix so I never really used it too often. I just have no use for it. iPad mini 2 model, 16 gb, white front with the silver back, wifi & cellular data, bought it from AT&T, has Retina display. Overall works perfectly never had any issues with it, no scratches nothing!! :) including the case too!!",Electronics,Computers & Tablets,iPad,5.247024072,free,Apple,ipad mini 2,2013.0,529,529.0,529.0,1.0,Dual Core,dual core,1.3 GHz,ios 7,7.9,16.0,Y,Y,case ,N,,2.0,1.3,No
56626,Like New iPad with Retina Display,2,Apple,100,1,"This iPad with Retina Display 16GB (3rd Generation) is like new, not a single scratch on this product! Comes with original charger and power cord, and ships in its original box! 9.7 Retina Display; 2048 x 1536 Resolution Apple iOS 6; Dual-Core A6X Chip with Quad-Core Graphics 5 MP iSight Camera; 1080p HD Video Recording Wi-Fi (802.11a/b/g/n); 16 GB Capacity Up to 10 Hours of Battery Life; 1.44 lbs",Electronics,Computers & Tablets,iPad,4.6051701860000005,free,Apple,ipad 3,2012.0,499,499.0,499.0,1.0,Dual Core,dual core,1.0 GHz,ios 6,9.7,16.0,N,Y,charger\code,N,,2.0,1.0,No
58217,Apple IPad 2 16gb,3,Apple,117,0,Good condition comes with charger normal wear & tear,Electronics,Computers & Tablets,iPad,4.762173935,paid,Apple,ipad 2,2011.0,499,499.0,499.0,0.512,Dual Core,dual core,1.0 GHz,ios 4,9.7,16.0,N,Y,charger,N,,2.0,1.0,Yes
59812,IPad Mini First Generation 16GBS,4,Apple,64,0,"Needs a new screen but still works just sometimes the screen acts up because of the crack that it has , has some scratches on back but not really noticeable",Electronics,Computers & Tablets,iPad,4.158883083,paid,Apple,ipad mini 1,2012.0,329,329.0,329.0,0.512,Dual Core,dual core,1.0 GHz,ios 6,7.9,16.0,N,N,,N,,2.0,1.0,Yes
60297,iPad Mini 1st Generation 16Gb No Cracks,2,Apple,106,0,This perfect condition iPad Mini is being sold because i used to use it all the time and never had any flaws because i have recently gotten an iphone.,Electronics,Computers & Tablets,iPad,4.663439094,paid,Apple,ipad mini 1,2012.0,329,329.0,329.0,0.512,Dual Core,dual core,1.0 GHz,ios 6,7.9,16.0,N,N,,N,,2.0,1.0,Yes
63546,iPad Air 2 Gold Edition 64GB,2,Apple,315,1,This is a fairly new iPad Air 2 Gold edition. comes with red Fintie Protective Case. selling because i got 2 for graduation! works perfect not locked as you can see in the pictures! more pictures upon request if needed. price negotiable. ipad is both Cellular and Wi-Fi capable.,Electronics,Computers & Tablets,iPad,5.7525726389999985,free,Apple,ipad air 2,2014.0,729,729.0,729.0,2.0,Triple Core,triple core,1.5 GHz,ios 8.1 ,9.7,64.0,Y,Y,case,N,,3.0,1.5,No
66621,iPad Mini 16gb (PRICE FIRM),2,Apple,111,0,Excellent condition. Never been broken and no scratches. Wifi 1st generation 16gb white iPad Mini Case will be included as shown in picture. Will come with original box but not charger. Will factory reset before shipping.,Electronics,Computers & Tablets,iPad,4.709530201000001,paid,Apple,ipad mini 1 ,2012.0,329,329.0,329.0,0.512,Dual Core,dual core,1.0 GHz,ios 6,7.9,16.0,N,N,,N,,2.0,1.0,Yes
67265,9.7 iPad Pro 32GB Wi-Fi Silver,1,Apple,456,0,"BRAND NEW *SEALED* IN BOX - NEVER OPENED! Price is FIRM! 9.7"" silver 32GB Apple iPad Pro - includes all original accessories you would typically get when purchasing a new iPad as this is brand new sealed in the box.",Electronics,Computers & Tablets,iPad,6.12249281,paid,Apple,ipad pro,2016.0,599,599.0,599.0,4.0,Dual Core,dual core,2.26 GHz,ios 9.1,9.7,32.0,N,Y,,N,,2.0,2.26,Yes
67599,iPad Air AT&T + WIFI 16 GB,4,Apple,106,0,"This is an iPad Air 1st generation. It has 16 GB of storage and it is the Wifi and cellular version (Carrier is AT&T). The person that fixed the screen messed up the home button (isn't in place and doesn't work) but there is an on screen home button. Device will come factory reset! Also, there is a tiny crack in the lower right hand of the device, it doesn't go onto the screen just is on the bezel. Will come with the charging cable. Trying to sell As soon as possible! :)",Electronics,Computers & Tablets,iPad,4.663439094,paid,Apple,ipad air 1,2013.0,629,629.0,629.0,1.0,Dual Core,dual core,1.3 GHz,ios 7,9.7,16.0,Y,N,,N,,2.0,1.3,Yes
71211,Mini iPad,4,Apple,125,1,Mini iPad / black Small dent,Electronics,Computers & Tablets,iPad,4.828313737,free,Apple,ipad mini,2012.0,329,329.0,329.0,0.512,Dual Core,dual core,1.0 GHz,ios 6,7.9,16.0,N,N,,N,,2.0,1.0,No
72502,Ipad mini 2,1,Apple,250,1,I pad mini 2. Brand new in box. Never opened or used. Retail [rm] +tax. Price is firm.,Electronics,Computers & Tablets,iPad,5.521460918,free,Apple,ipad mini 2 ,2013.0,399,399.0,399.0,1.0,Dual Core,dual core,1.3 GHz,ios 7,7.9,16.0,N,N,,N,,2.0,1.3,No
76058,Ipad 3rd Generation,3,Apple,126,0,"Works perfectly, it is the Black 32gb Wifi Apple Ipad 3rd Generation, this was bought at GameStop amd still has the GameStop Box, it comes with working charger and bluetooth keyboard case. The shipping is high because than I can wrap everything with bubble wrap so nothing breaks.",Electronics,Computers & Tablets,iPad,4.836281907,paid,Apple,ipad 3,2012.0,599,599.0,599.0,1.0,Dual Core,dual core,1.0 GHz,ios 6,9.7,32.0,N,Y,charger\keyboard case,N,,2.0,1.0,Yes
77470,iPad Mini 1st Gen BUNDLE,3,Apple,141,0,"Includes: *Blue light UV filter (better sleep for you!) screen protector *1 charger (not the original) *1 Apple ear buds (new in case) *1 new black stylus pen *1 chevron blue & white magnetic case (used but good condition) *1 Purple zippered padded pouch/case like new & screen wipe. Both washed. Current software upgrade as of time of factory reset & fully charged. No cracks, dents or chips. Just a couple small blemishes as shown in picture 3. Mostly kept inside a case. NOTE: there is an engraving on the back as shown in pic 2 (Tracey Lea Life is too short to work so hard!) Selling because my needs grew beyond what this could handle. Complete bundle for those who wish to own an iPad. Clean! 16GB, Wi-Fi, First Generation, Silver, Bluetooth, Model A1432. Bundled as is.",Electronics,Computers & Tablets,iPad,4.94875989,paid,Apple,ipad mini 1,2012.0,329,329.0,329.0,0.512,Dual Core,dual core,1.0 GHz,ios 6,7.9,16.0,N,Y,UV filter\charger\pen,N,,2.0,1.0,Yes
78305,iPad Mini,2,Apple,134,0,Space grey iPad mini 16 GB Wifi Great condition!,Electronics,Computers & Tablets,iPad,4.8978398,paid,Apple,ipad mini,2012.0,329,329.0,329.0,0.512,Dual Core,dual core,1.0 GHz,ios 6,7.9,16.0,N,N,,N,,2.0,1.0,Yes
79643,iPad mini,2,Apple,156,0,"iPad, brand new condition w/o box, given to as a gift, used about 5x 16 GB",Electronics,Computers & Tablets,iPad,5.049856007,paid,Apple,ipad mini,2012.0,329,329.0,329.0,0.512,Dual Core,dual core,1.0 GHz,ios 6,7.9,16.0,N,Y,,N,,2.0,1.0,Yes
81130,iPad mini,3,Apple,90,0,Willing to negotiate Fully operational Comes with case,Electronics,Computers & Tablets,iPad,4.49980967,paid,Apple,ipad mini,2012.0,329,329.0,329.0,0.512,Dual Core,dual core,1.0 GHz,ios 6,7.9,16.0,N,Y,case,N,,2.0,1.0,Yes
82211,iPad 2 bundle,3,Apple,120,1,White iPad 2 16gig wifi + cellular (ATT) Screen and back are free if scratches except for a tiny ding on bottom right which has no effect on performance (photo 4). Back is protected by thin plastic film. Front comes with removable magnetic cover. Bundle includes lap holder that can keep iPad either horizontal or vertical at various angles for hands free AND the iClip which keep ipad on microphone stand for playing music or any (same size) pole if you don't play music. Will sign out of iCloud and reset to default when you buy. Wish I could post more than 4 pictures to show how versatile the accessories can do. Ask me if you have any questions.,Electronics,Computers & Tablets,iPad,4.787491743,free,Apple,ipad mini ,2012.0,459,459.0,459.0,0.512,Dual Core,dual core,1.0 GHz,ios 6,7.9,16.0,Y,Y,cover,N,,2.0,1.0,No
84123,Apple iPad mini,3,Apple,120,1,This is a used 16GB Apple iPad mini I had this for two years and it's still in good condition the only issue is the home button doesn't work. There are no dents on the iPad mini. I lost the charger it came with so you will need to buy a charger for it. All sales are final no returns!!!!,Electronics,Computers & Tablets,iPad,4.787491743,free,Apple,ipad mini,2012.0,329,329.0,329.0,0.512,Dual Core,dual core,1.0 GHz,ios 6,7.9,16.0,N,N,,N,,2.0,1.0,No
85809,iPad 4th generation,3,Apple,161,0,"* Still in very good condition , just don't use it anymore * 16 GB * Wifi * one little dent on top right hand corner shown in pic #4 * Has a very good screen protector on it. * Make me an offer (:",Electronics,Computers & Tablets,iPad,5.081404365,paid,Apple,ipad 4,2012.0,499,499.0,499.0,1.0,Dual Core,dual core,1.4 GHz,ios 6,9.7,16.0,N,N,,N,,2.0,1.4,Yes
85941,Apple iPad 2 MC769LL/A Tablet 16GB WiFi,3,Apple,119,0,Near Mint condition iPad as always been in an Otter Box defender case which you will also get. The case alone costed me 65$ Any questions please ask.,Electronics,Computers & Tablets,iPad,4.779123493,paid,Apple,ipad 2,2011.0,65,65.0,65.0,0.512,Dual Core,dual core,1.0 GHz,ios 4,9.7,16.0,N,Y,case,N,,2.0,1.0,Yes
90943,iPad Mini Wifi Only 1st Gen,3,Apple,86,0,Great condition. Great for someone that is always under wifi ! Ram 512 gb storage 16 g iCloud unlocked ! PRICE IS FIRM,Electronics,Computers & Tablets,iPad,4.454347296,paid,Apple,ipad mini 1,2012.0,329,329.0,329.0,0.512,Dual Core,dual core,1.0 GHz,ios 6,7.9,16.0,N,N,,N,,2.0,1.0,Yes
96412,Ipad air 64Gb,2,Apple,235,1,Ipad air 1 64Gb. 9.7 inch With charger and cover,Electronics,Computers & Tablets,iPad,5.459585514,free,Apple,ipad air 1,2013.0,499,499.0,499.0,1.0,Dual Core,dual core,1.3 GHz,ios 7,9.7,16.0,N,Y,charger\cover,N,,2.0,1.3,No
97015,iPad Air 2 could be used for parts,5,Apple,66,1,No low balling.... iPad was for school but stopped working completely can't get it fixed can be used for parts. Will bargain if possible,Electronics,Computers & Tablets,iPad,4.189654742,free,Apple,ipad air 2,2014.0,499,499.0,499.0,2.0,Triple Core,triple core,1.5 GHz,ios 8.1 ,9.7,16.0,N,N,,N,,3.0,1.5,No
99969,iPad,2,Apple,75,1,"I've used only once, I got the iPad mini so I'm getting rid of this one.",Electronics,Computers & Tablets,iPad,4.317488114,free,Apple,ipad,2010.0,499,499.0,499.0,0.256,Cortex-A8,single core,1.0 GHz,ios 3.2,9.7,16.0,N,N,,N,,1.0,1.0,No
100002,iPad Gen 2 / Verizon,4,Apple,56,0,"iPad Gen 2 with Verizon cell abilities. The wifi has issues, loses wifi connection a lot. Works with Verizon. Comes with OtterBox case, cables and memory card readers.",Electronics,Computers & Tablets,iPad,4.025351691,paid,Apple,ipad 2,2011.0,499,499.0,499.0,0.512,Dual Core,dual core,1.0 GHz,ios 4,9.7,16.0,N,Y,cables\memory card readers,N,,2.0,1.0,Yes
100033,"Ipad pro 9.7"" space gray",1,Apple,556,0,Brand new sealed 32gb,Electronics,Computers & Tablets,iPad,6.320768294,paid,Apple,ipad pro,2016.0,599,599.0,599.0,4.0,Dual Core,dual core,2.26 GHz,ios 9.1,9.7,32.0,N,N,,N,,2.0,2.26,Yes
100642,iPad 1st gen 16gb,3,Apple,60,1,"*Ipad is in good condition *includes unoriginal lightning charging cord *Ipad features 16gb with wifi + 3G *Can be operated with no SIM card installed *ipad will be charged before shipping and will be reset *price is firm and shipping is free *check out my other listing, *Genuine Leather* Coach IPad case [rm] free shipping. If you bundle it, the case can be added to the iPad for [rm]. Please comment if you're interested in this option.",Electronics,Computers & Tablets,iPad,4.094344562,free,Apple,ipad 1,2010.0,629,629.0,629.0,0.256,Cortex-A8,single core,1.0 GHz,ios 3.2,9.7,16.0,Y,Y,case,N,,1.0,1.0,No
101496,iPad mini 2 wifi + cellular 128GB AT&T,2,Apple,263,1,"-Mint condition.( No sign of wear, scratch ) -Always stays in the Otter Box case ( worth [rm]) - No box or accessories included - charger and cable included - comment for any questions",Electronics,Computers & Tablets,iPad,5.572154032,free,Apple,ipad mini 2 ,2013.0,829,829.0,829.0,1.0,Dual Core,dual core,1.3 GHz,ios 7,7.9,128.0,Y,Y,charger\cable,N,,2.0,1.3,No
102324,iPad Mini 2 hold for Brie shines,3,Apple,175,1,Actually like new no sign of wear been in case and has temper glass screen all included will have box and all as well :),Electronics,Computers & Tablets,iPad,5.164785974,free,Apple,ipad mini 2,2013.0,399,399.0,399.0,1.0,Dual Core,dual core,1.3 GHz,ios 7,7.9,16.0,N,Y,case\glass screen,N,,2.0,1.3,No
103945,IPAD MINI 2 16GB,2,Apple,161,0,Use for a couple days want a bigger one. I cloud unlocked Comes with clear skin case Comes in box with charger Can combine to get a zagg typing case just comment,Electronics,Computers & Tablets,iPad,5.081404365,paid,Apple,ipad mini 2,2013.0,399,399.0,399.0,1.0,Dual Core,dual core,1.3 GHz,ios 7,7.9,16.0,N,Y,case,N,,2.0,1.3,Yes
106322,iPad,2,Apple,450,1,Like brand new.,Electronics,Computers & Tablets,iPad,6.109247582999999,free,Apple,ipad ,2010.0,499,499.0,499.0,0.256,Cortex-A8,single core,1.0 GHz,ios 3.2,9.7,16.0,N,N,,N,,1.0,1.0,No
110225,IPad mini 2 wifi,2,Apple,196,0,Excellent condition no scratches ...,Electronics,Computers & Tablets,iPad,5.278114659,paid,Apple,ipad mini 2 ,2013.0,399,399.0,399.0,1.0,Dual Core,dual core,1.3 GHz,ios 7,7.9,16.0,N,N,,N,,2.0,1.3,Yes
110237,iPad mini one,3,Apple,106,0,Works great just have no use for it no scratches or cracks,Electronics,Computers & Tablets,iPad,4.663439094,paid,Apple,ipad 1,2010.0,499,499.0,499.0,0.256,Cortex-A8,single core,1.0 GHz,ios 3.2 ,9.7,16.0,N,N,,N,,1.0,1.0,Yes
113528,iPad Air 1,3,Apple,71,0,It's need a new screen and some area the touch don't work that's why it need a new screen 16gb Silver Scratches Nano sim Unlocked,Electronics,Computers & Tablets,iPad,4.262679877,paid,Apple,ipad air 1,2013.0,499,499.0,499.0,1.0,Dual Core,dual core,1.3 GHz,ios 7,9.7,16.0,N,N,,N,,2.0,1.3,Yes
114907,iPad mini 2,4,Apple,100,1,"Very good shape , hardly used. Let a friend borrow it and the lock button at the top broke only works about half the time(will need to set up the assisted touch setting unless you get it fixed)but other than that it's Fully functioning. Minor wear and tear. I cloud unlocked and cellular useable . Also throwing in the case as well ([rm]) . Any questions leave a comment",Electronics,Computers & Tablets,iPad,4.6051701860000005,free,Apple,ipad mini 2,2013.0,529,529.0,529.0,1.0,Dual Core,dual core,1.3 GHz,ios 7,7.9,16.0,Y,N,,N,,2.0,1.3,No
120375,IPad Mini 1st Gen 16 GB,2,Apple,82,0,No description yet,Electronics,Computers & Tablets,iPad,4.406719247,paid,Apple,ipad mini 1,2012.0,329,329.0,329.0,0.512,Dual Core,dual core,1.0 GHz,ios 6,7.9,16.0,N,N,,N,,2.0,1.0,Yes
120485,iPad mini 3,3,Apple,71,0,Forgot the password Black No charger,Electronics,Computers & Tablets,iPad,4.262679877,paid,Apple,ipad mini 3,2014.0,399,399.0,399.0,1.0,Dual Core,dual core,1.3 GHz,ios 8.1 ,7.9,16.0,N,N,,N,,2.0,1.3,Yes
123586,Brand new iPad mini 2,1,Apple,181,0,"Brand new iPad mini 2nd. 16 GB storage. Absolutely nothing wrong with it. Perfect condition. Also comes with charger, and protective screen protector (already on). Ask about a case too for an additional [rm]. Price is firm since this app takes a percentage out of it.. Retail value: [rm] (Walmart, eBay, Amazon etc.)",Electronics,Computers & Tablets,iPad,5.1984970310000005,paid,Apple,ipad mini 2,2013.0,399,399.0,399.0,1.0,Dual Core,dual core,1.3 GHz,ios 7,7.9,16.0,N,Y,charger\screen protector,N,,2.0,1.3,Yes
124105,iPad Mini 2,3,Apple,146,0,"In very good condition, absolutely loved it but don't use it much anymore. It is wiped clean and everything is deleted off so you don't have to worry about that. There are a few scuffs here and there but not a whole bunch. Works perfectly and smoothly, there are no chips or glass missing, I have never dropped this iPad. Does not come with the box, because I don't know what happened to it. But I promise I will make sure it is wrapped really well and protected before I send it out.",Electronics,Computers & Tablets,iPad,4.983606622,paid,Apple,ipad mini 2,2013.0,399,399.0,399.0,1.0,Dual Core,dual core,1.3 GHz,ios 7,7.9,16.0,N,N,,N,,2.0,1.3,Yes
126703,Original iPad Mini Cracked,4,Apple,71,0,Just cracked but functions perfectly,Electronics,Computers & Tablets,iPad,4.262679877,paid,Apple,ipad mini,2012.0,329,329.0,329.0,0.512,Dual Core,dual core,1.0 GHz,ios 6,7.9,16.0,N,N,,N,,2.0,1.0,Yes
127016,iPad mini 2,2,Apple,136,1,MINT CONDITION barely used Silver/White 16GB Wi-Fi Bluetooth In original Apple box charger not included,Electronics,Computers & Tablets,iPad,4.912654886,free,Apple,ipad mini 2,2013.0,399,399.0,399.0,1.0,Dual Core,dual core,1.3 GHz,ios 7,7.9,16.0,N,N,,N,,2.0,1.3,No
127163,iPad 3rd Gen 32Gb READ DESCRIPTION!,5,Apple,50,1,iPad does not turn on. Will need replacement charging port which costs [rm] on Amazon. I fix iPads and have lost interest in this one I've had. Everything else works fine. Sold as is. Priced to sell.,Electronics,Computers & Tablets,iPad,3.912023005,free,Apple,ipad 3,2012.0,729,729.0,729.0,1.0,Dual Core,dual core,1.0 GHz,ios 5.1,9.7,32.0,N,N,,N,,2.0,1.0,No
129200,iPad mini,2,Apple,96,0,"1st generation iPad mini 16gb. Comes with case/bag, charging cable and plug.",Electronics,Computers & Tablets,iPad,4.5643481910000006,paid,Apple,ipad mini 1,2012.0,329,329.0,329.0,0.512,Dual Core,dual core,1.0 GHz,ios 6,7.9,16.0,N,Y,case\bag\carging cable\plug,N,,2.0,1.0,Yes
